ID,Titulo,Artista,Album,Genero,Año,Letra,Audio_Path
23,LOYALTY.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"I said I'm geeked and I'm fired up (fired, fire)
All I want tonight is just get higher (high, high, high)
Girl, you look so good, it's to die for (die for)
Ooh, that pussy good, it's to die for (on fire)
It's a secret society
All we ask is trust
(All we ask is trust)
All we got is us
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty
Kung Fu Kenny now
My resume is real enough for two millenniums
A better way to make a wave, stop defendin' them
I meditate and moderate all of my wins again
I'm hangin' on the fence again
I'm always on your mind
I put my lyric and my lifeline on the line
And ain't no limit when I might shine, might grind
You rollin' with it at the right time, right now
(Only for the dollar sign)
Bad girl RiRi now
Swerve, swerve, swerve, swerve, deeper now
On your pulse like it's EDM
Gas in the bitch like it's premium
Haul ass on a bitch all in the fast lane
Been a bad bitch way before any cash came
I'm established
Hundred carats on my name
Run the atlas, I'm a natural, I'm alright
I'm a savage, I'm a asshole, I'm a king
Shimmy-yeah, shimmy-yeah, shimmy-yeah, rock (yeah)
You can tell your nigga he can meet me outside (yeah)
You can babysit him when I leave him outside
Ain't no other love like the one I know
I done been down so long lost hope
I done came down so hard I slowed
Honesty forever, all a real nigga want
I said I'm geeked and I'm fired up (fired, fire)
All I want tonight is just get higher (yeah)
(All I want is, all I want is)
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty
10-4, no switchin' sides
Feel somethin' wrong
You actin' shifty, you don't ride
With me no more, I need
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty
Tell me who you loyal to
Is it money? it is fame? Is it weed? Is it drink?
Is it comin' down with the loud pipes and the rain?
Big chillin', only for the power in your name
Tell me who you loyal to
Is it love for the streets when the lights get dark?
Is it unconditional when the 'Rari don't start?
Tell me when your loyalty is comin' from the heart
Tell me who you loyal to
Do it start with your woman or your man? (Mmm)
Do it end with your family and friends? (Mmm)
Or you're loyal to yourself in advance?
I said, tell me who you loyal to
Is it anybody that you would lie for?
Anybody you would slide for?
Anybody you would die for?
That's what God for
I said I'm geeked and I'm fired up (fired, fire)
All I want tonight is just to get high up
(All I want is, all I want is)
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty
10-4, no switchin' sides
Feel somethin' wrong
You actin' shifty, you don't ride
With me no more, I need
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty
It's so hard to be humble
It's so hard to be
Lord knows is I'm tryin'
Lord knows is I'm dyin', baby",audio/06. Kendrick Lamar - LOYALTY..flac
24,I Killed You,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"your new hot comb go round and round
your new blowout go round and round
your 360 waves go round and round
the grease adding up it goes round and round
i gotta work i gotta eat if they see you on top of me i gotta leave bitch i killed you
your natural state is threatening to the point that i point at myself and self esteem bitch i killed you
no finding out a couple knots was a map we escaping them routes right on the scalp bitch i killed you
taking you out it's not a game feel ashamed so we straightened you out without a doubt
bitch i killed you
you are so essential how we used to pick you cause you was a symbol
berries and oils your nature was so simple
but i guess the coils and kinks became an issue
therefore bitch i killed you with jerries and mimis
i burnt you i cut you i filled you up with chemies
forced you to relax you was thick you was bb
couldn't take the heat so you're gone when they see me yeah bitch i killed you
aunties grandmas sisters mamas darker skinned women conscious got ya
bitch they killed you
uncles daddies brothers sons cut by one the shit begun early
bitch they killed you
mentally stuck i couldn't see when you breathe
thought i needed a cut it fucked me up bitch i kill you
we don't got advantages we don't match their images
so it led to damages ahhh i had to kill you
i gotta work i gotta eat if they see you on top of me then i'm at peace bitch i killed you
you are my crown without the grease really fine got the kinks in their mind they gotta ease
bitch i kill you gravity defy against the elements call you fragile? i say you're delicate
you're the room baby they're the muthafuckin elephant talking bout my heritage
i would never kill you
trapped in the back aww
type 3 is it type 4?
fuck it get down, this is my crown, you got kinks in your mind boy
i didn't mean to
you're so beautiful","audio/06. Tyler, The Creator - I Killed You.flac"
25,EL CLúB,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Yeah, 2:00 de la mañana en el club
To'l mundo pasándola cabrón
Las mujeres encima de mí
La hookah, las pastillas y un blunt
La que yo quiera dice que sí
Bien loco cantando la canción
Después de aquí nos vamos pa-
¿Qué estará haciendo mi ex
Que hace tiempo por ahí no se ve?
¿Será que ya me superó y le va bien?
Mientras que yo, borracho, pienso
¿Qué estará haciendo mi ex
Que hace tiempo por ahí no se ve?
¿Será que ya me superó y le va bien?
Mientras que yo, borracho, pienso
¿Qué diablo estará haciendo?
¿Estará jangueando o estará durmiendo?
¿Estará fumando o estará bebiendo?
¿Seguirá sola o está saliendo
Con otro que no soy yo?, no soy yo
Mami, ese no soy yo, no soy yo
Aposté que te olvidaba y perdí 500
Otra vez me ganaron los sentimiento'
Los muchachos piensan que yo estoy contento
Pero no, estoy muerto por dentro
La disco está llena y a la vez vacía
Porque no está la nena mía
Con la que yo siempre me reía
Con la que yo siempre me venía
Con la que yo hablaba to' los días
Y ahora no sé na, y ahora no sé na, ey
¿Qué estará haciendo mi ex
Que hace tiempo por ahí no se ve?
¿Será que ya me superó y le va bien?
Mientras que yo, borracho, pienso
2019, un pestañeo y ahora estamo aquí
2020, la última vez que yo fui feliz
2022, la última vez que yo te vi
La vida no me cumplió na de lo que le pedí
No sé qué pasó, yo le pedí a Dios
Pero él también me ghosteó
El futuro me golpeó, en el pasado me dejó
La felicidad se alejó
Y me pregunto qué estarás haciendo
Si en mí estás pensando
O si la luna estás viendo
Con otra persona conectando
Y si de mí le estás hablando, eh-eh
Espero aunque sea ser un buen recuerdo
Ser un buen recuerdo",audio/07. Bad Bunny - EL CLúB.flac
26,REM,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Me dormí para evitar que te pensara
Qué burla, el lugar donde busco mi paz es donde estabas
Me dormí con lágrimas mojadas
Esperando mi séptimo sueño a ver si en ella remabas
Me dormí pa poder escaparme (me dormí)
Esquivando pensarte para yo sanar
Poder descansar
Y te vuelvo a soñar y te escucho decir
Nos besamos si te animas
Quédate a dormir acá
Que llevas mucho tiempo solo
Y yo te puеdo acompañar
Y nos besamos a escondidas, quédate un poco más
Dame más picos de dopamina, natural melatonina
Tú puedes controlarlo todo y yo
Quiero poder aprovechar el sueño
Que no sé si yo te vuelvo a ver
Si te levantas, seguramente no pueda volver
Cierra los ojos, piensa en mí
Yo siempre pienso en ti
Difícil admitir que por ti me dormí
Pero es lindo verte aquí
Tan lindo verte aquí
Aunque me sordee, aunque no lo vea
Aunque en mi cabeza no sea la meta
Muy, muy dentro de mí, te quiero aquí
Toparnos en REM, besarnos again and again
And again, and again, and again, and again
And again, and again
And again, and again, and a
And again, and again
And again
Me dormí para ya no pensarte
Y soñé que a lo lejos te encontraba
Iba corriendo, pero no avanzaba
Que te quedes al aire gritaba
Me dormí, comencé a alucinarte
En otro plano, por fin, te tocaba
Pasamos horas en la cama
Jugando a que el piso era lava
Me dormí
Me-me, me dormí
Me-me-me, me dormí
(Me-me-me) me-me-me, me dormí
Me dormí, me dormí (que ahí afuera estoy muy solo)
Me dormí
Me dormí
Me-me-me, me dormí
(Me-me-me) me dormí",audio/07. HUMBE - REM.flac
27,PRIDE.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Love's gonna get you killed
But pride's gonna be the death of you, and you and me
And you, and you, and you and me
And you, and you, and you and me
And you, and you, and-
Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care
Hell-raising, wheel-chasing, new worldly possessions
Flesh-making, spirit-breaking, which one would you lessen?
The better part, the human heart, you love 'em or dissect 'em
Happiness or flashiness? How do you serve the question?
See, in the perfect world, I would be perfect, world
I don't trust people enough beyond their surface, world
I don't love people enough to put my faith in man
I put my faith in these lyrics, hoping I make a band
I understand I ain't perfect, I probably won't come around
This time, I might put you down
Last time, I ain't give a f-, I still feel the same now
My feelings might go numb
You're dealing with cold thumb
I'm willing to give up a leg and arm to show empathy from
Pity parties and functions of you and yours
A perfect world, you probably live another 24
I can't fake humble just 'cause your a- is insecure
I can't fake humble just 'cause your a- is insecure
Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care
Maybe I wasn't there (we saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there
Now, in a perfect world, I probably won't be insensitive
Cold as December, but never remember what winter did
I wouldn't blame you for mistakes I made or the bed I laid
Seems like I point the finger just to make a point, nowadays
Smiles and cold stares, the temperature goes there
Indigenous disposition, feel like we belong here
I know the walls, they can listen, I wish they could talk back
The hurt becomes repetition, the love almost lost that
Sick venom in men and women overcome with pride
A perfect world is never perfect, only filled with lies
Promises are broken and more resentment come alive
Race barriers make inferior of you and I
See, in a perfect world, I'll choose faith over riches
I'll choose work over b-, I'll make schools out of prison
I'll take all the religions and put 'em all in one service
Just to tell 'em we ain't sh-, but He's been perfect, world
Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care
Maybe I wasn't there (we saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there",audio/07. Kendrick Lamar - PRIDE..flac
28,Judge Judy,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"I met this girl named Judy at the café 'round my way
Her breasts were near her chest and she had curls that hit her face
Her legs were Eiffel Tower, I can tell her daddy black
Peanut butter jelly toasted in her lap
We chop and chopped it up, I like her thoughts and time had flew
She said she had no plans and asked me what I'm 'bout to do
I stuffed us in the Phantom and wiggled through the streets
She said she'd never do this, but she think that I'm sweet
So I won't judge, Judy
No, I won't judge, Judy
We end up at my home
We dance around and make some sweets (we make some sweets)
We started swapping spit and then she got on top of me (she got on top of me)
I asked her what she into (you go first)
She told me lead the way (I'm into)
Body rubs, bondage, and creampies, we can play
Around in public, any cum is now a fetish I imagine
Fiend for foot massages, giving oral is my passion (yeah)
You could ride my face, I don't want nothing in return (wait)
Your body count and who you fuck is not my concern
'Cause I don't judge, Judy (yeah, yeah, yeah)
(What's your fetish and what are you into?)
No, I don't judge, Judy
(Don't matter, you're safe here, I won't judge you now)
No, I don't judge, Judy (Judy, Judy, Judy)
(I-I'll try to hold you down and dick you down) no
No, I don't judge, Judy (Judy, Judy)
She's just like me
Me, oh, oh, yeah
I can't judge, Judy, Judy (no, no-no-no, no-no)
She like rope, hands around her throat
Couple guys, it made her feel alive (yeah, yeah, oh)
She had a free spirit, you know?
(Judy, Judy, Judy)
And she was great with women (Ju', Jud-Judy)
(Judy, Judy, Judy)
Exhibitionist (not gonna judge)
I lean voyeur, so it worked out (oh, no, no)
Our frequencies matched
No pressure, just, just
She wrote me a letter
Sorry that I haven't been communicating much
This past year has been rough
It spreaded to my head (yeah, yeah, yeah)
I knew it when we met, if you're reading, it's too late
I'm on the other side, but I just wanna say
Thank you for the moments I could grab before I left
I hope you live your life, your truest self with no regrets
I wasn't living right until they told me what was left
I'm wishing you the best, P.S
Thank you for not judging, Judy
Damn","audio/07. Tyler, The Creator - Judge Judy.flac"
29,KETU TeCRÉ,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Yo no hice na', yo no hice na'
Pa' que tú esté' así conmigo (no)
¿Cómo fue que terminamo' siendo enemigo'?
Baby, si hace un mes yo estaba dándote castigo
Siempre he sido a fuego contigo
Tú no era' así
Cuando yo te conocí (te conocí)
Siento que yo te cambié
Despué' que te lo metí, -í
Ahora te suelta'
Y sale' pa' la disco a perrear
Te olvidaste de mí
La seguiste normal, normal (uh)
Despué' que te lo hice bien
Ahora quiere' portarte mal
Ey, trajecito sin panty (-ty)
Escuchando viejera' de Plan B
""Hey Shorty"" de Jowell y Randy
Subiendo storie', twerkeando como Cardi
Juguetito' y ninguno dice ""Andy""
Una muñeca buscando un AP
Si no un Rollie, si no un Carti
Que me la chingue en el parking
Uñas, eyelash, fotito' con más flash, eh
Si va' a enseñarme ese culo
Que sea en persona, yo no tengo Snapchat
Por la noche bebiendo tequila, por el día matcha, ey
Si no anda con Vero, anda con Nacha
Y si me escribe, es que está borracha
La mai se pasa orando pa' ver si se recoge
Pero son la' 11 y pa' la calle coge, ey
Muchos la piden, pero ella es la que escoge
Si me ve' haciendo lo mismo que tú, no te enoje'
Porque ahora te suelta'
Y sale' pa' la disco a perrear
Te olvidaste de mí
La seguiste normal, normal (uh)
Despué' que te lo hice bien
Ahora quiere' portarte mal
Ahora te suelta'-suelta'-suelta'-suelta'
Ya ni te reconozco, bebé (mmm)
Anoche a las 2 te llamé
Y estás hecha una malcriá'
¿Qué carajo tú te cree'? (¿Qué carajo?)
Conmigo no, yo fui el que te enseñé
Yo fui el que te enseñé
A aplicarla como e'
A frontear como e'
A tirar chavo' en el club
La hookah y la Moet
Que mucho yo te quería
Pero ya tú no me cae' bien
Ya tú no me cae' bien, eh
Está creci'a, embichá'
Pero la tengo fichá'
Yo que te di de to'
Cuando tú era' la oficial
Si me escribe' pa' pelear
Sabe' que vo'a pichar
Sigue ruli, Tokischa, eh, ey
Ahora te suelta'
Y sale' pa' la disco a perrear, -rrear
Ahora te suelta'
Y sale' pa' la disco a perrear, -rrear
Y ahora te suelta'
Y sale' pa' la disco a perrear
Pa'-pa'-pa' la disco a perrear, -rrear
Pa'-pa la disco a perrear, perrear, perrear
Yo soy celoso con mis sentimiento'
Entonces me encojona, me duele, me molesta
Mostrárselo' a alguien que no lo merece",audio/08. Bad Bunny - KETU TeCRÉ.flac
30,REM II,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Soñando
no sé dónde entrará mi cuerpo.
¿Cómo tan real te estoy tocando?
Tocando,
tocando.
Y siento cómo el peso
se alza de mi pecho.
En el cielo hay destellos,
y ahora tengo estremecido todo el cuerpo.
No me quiero despertar
y volverme a ver
en esta realidad,
sin tenerte al lado.
No me quiero apagar,
respirar y pensar
en volver a encontrarte aquí
y tenerte al fin.
""Hola Humbe, muchas, muchas gracias por ese mensaje tan especial.
Ya tendremos tiempo de conocernos,
y de agradecerte lo especial que has sido con Marianita.
Creo que para ella es un gran orgullo ver todo lo que has logrado.
Mientras tanto, te seguiremos acompañando de todo corazón
y te deseamos los mejores éxitos.""
Te tiro con arco como Cupido,
te tiro con arco como Cupido.
Como Cupido,
te tiro con a-
Te tiro con arco como Cupido,
te tiro con arco como Cupido.
Te tiro con arco...
...como Cupido.
Como Cupido.
Como cu.",audio/08. HUMBE - REM II.flac
31,HUMBLE.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Nobody pray for me
It been that day for me
Way, yeah, yeah
Ay, I remember syrup sandwiches and crime allowances
Finessin' on 'em with some counterfeits, but now I'm countin' this
Parmesan where my accountant lives in fact, I'm downin' this
D'ussé with my boo bae, taste like Kool-Aid for the analysts
Girl, I can buy yo' waist the world with my paystub
I know that it's good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down, we playin' Tetris
A.m. to the p.m., p.m. to the a.m., funk
Eat up your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know
Tell 'em, be humble (hol' up), sit down (hol' up, hol' up, lil', hol' up, lil')
Be humble (hol' up), sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up), sit down (hol' up, hol' up, lil', hol' up lil')
Be humble (hol' up), sit down (hol' up, hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up), sit down (hol' up, hol' up, lil', hol' up, lil')
Be humble (hol' up), sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up), sit down (hol' up, hol' up, lil', hol' up lil')
Be humble (hol' up), sit down (hol' up, hol' up, hol' up, hol' up)
Who that, uh, thinkin' that he frontin' on Man-Man? (Man-Man)
Get the, uh, off my stage, I'm the Sandman (Sandman)
Get the, uh, off my (ay), that ain't right (hol' up)
I make a play blowin' up your whole life
I'm so-so sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural, I wanna feel some stretch marks
Still'll take you down right on yo' mama couch in Polo sock
Ay, this is way too crazy, ay, you do not amaze me, ay
I blew cool from AC, ay, Obama just paged me, ay
I don't fabricate it, ay, most of y'all be fakin', ay
I stay modest 'bout it, ay, she elaborate it, ay
This that Grey Poupon, that Evian, that TED Talk, ay
Watch my soul speak, you let the meds talk, ay
If I kill a, um, it won't be the alcohol, ay
I'm the realest, um, after all
Tell 'em, be humble (hol' up), sit down (hol' up, hol' up, lil', hol' up lil')
Be humble (hol' up), sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up), tell 'em sit down (hol' up, hol' up, lil', hol' up lil')
Be humble (hol' up), sit down (hol' up, hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up), sit down (hol' up, hol' up, lil', hol' up, lil')
Be humble (hol' up), sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up, hol' up, hol' up lil'), sit down (hol' up, lil')
Be humble (hol' up), sit down (hol' up, hol' up, hol' up, hol' up)",audio/08. Kendrick Lamar - HUMBLE..flac
32,Sticky,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"Uh
Poppin' that shit get you hit quick fast (mink, mink, mink)
Niggas poppin' off and niggas steppin' on the gas
Pop that shit like I'm poppin' some gum
Who the fuck you talkin' to, ho? I ain't the one
It's gettin' sticky, sticky, sticky
Bitch, it's gettin' sticky, sticky, sticky
Bro, it's gettin' sticky, sticky, sticky
Bitch, it's gettin' sticky, sticky, sticky
See, I'm a Westside nigga from the zone (what's goin' on, nigga?)
Knock, knock, knock, knock, knockin' at the door (I'm knockin' at the door, oh)
I keep them mink-minks on my hip 'cause I keloid my fists
Nigga, give a fuck 'bout pronouns, I'm that nigga and that bitch
It's gettin' sticky, sticky, sticky
Bitch, it's gettin' sticky, sticky, sticky
Bro, it's gettin' sticky, sticky, sticky
It's gettin' sticky, sticky
Sticky, sticky, sticky, bitch
Uh, lit-ass bitches, steppin' I be poppin' shit
Fly as fuck, niggas want that motion, I be in the cut
Sneaky link, she say that's her nigga, I don't give a fuck
These bitches tryna scrap, but I'm knuckin' if you buckin', ho
It's gettin' sticky (yup, yeah)
It's gettin' sticky (bitch, where they at?)
It's gettin' sticky (bitch)
It's gettin' sticky (yeah)
Bitch, let it be
Niggas say I ain't the guy, they must be smokin' ketamine
Always talkin' 'bout potential, bitch, I am the better me
Jack of all trades, name a nigga who ahead of me?
Must be God instead of me
Bitch, it's gettin' sticky
Yeah, it's gettin' sticky (yo, where they at?)
It's gettin' sticky (weird-ass nigga)
It's gettin' sticky (it's Sexyy, yeah)
Sexyy in this bitch, Tyler in this bitch, we turnt as fuck (Northside)
Bitches mad but can't beat my ass, ho, line it up (yeah)
I don't fight for my respect
Bitch, I fight for dick (keep yo' fuckin' kids off the streets)
Fah-fah-fah-fah, baby girl, I'm finna rock yo' shit
It's gettin' sticky (fuck that bitch, I'll clap yo' ho)
It's gettin' sticky (nigga, fuck that bitch, I'll clap yo' ho)
It's gettin' sticky (nigga, fuck that bitch, I'll clap yo' ho)
It's gettin' sticky (fuck that trick, I'ma-)
It's gettin' sticky in this bitch
Sticky situation (rock 'em), discombobulation
Caught me red-handed, palms itchin' like rosacea
Standin' like ovation on business occupation
Drippin' condensation, gotta whisper conversations
It's gettin' sticky (Tunechi)
It's gettin' sticky (it's gettin' sticky in this bitch)
It's gettin' sticky (CHROMAKOPIA, CHROMAKOPIA)
It's gettin' sticky (CHROMA-)
Grab that mop, grab that mop (mm)
I got something, bitch (grab that)
Better find a mop, it's gettin' sticky in this bitch (mm)
Better find a mop, it's gettin' sticky in this bitch
Better find a mop, it's gettin' sticky in this bitch (yeah, that dog tooth)
Better find a mop, it's gettin' sticky in this-
Yeah, bitch, I'm outside wit' it (mm, uh), tell them niggas I did it
Allergies to bum niggas, I see you, my eyes itchin'
This shit regular, regular, all that shit be regular
Ahead of you, I'm better, baby, check the vehicle
LaFerrari (mm-hmm), niggas sour (mm-hmm)
I can fit ten hundred thousand in these trousers (mm-hmm)
Buddy pillowtalkin', ""Stay away from 'Konma"" (mm-hmm))
A homewrecker, I be fuckin' who I wanna (mm-hmm)
Okay, big dick nigga, big stompin' through your town
All the bi bitches know the fuck is goin' down
That's a bet, skip the sex, ride my face, break my neck
Fuck now, mood swingin' like, jet
Fuck that aimin' 'bout?
Hittin' everything that's in my way, fuck what they talkin' 'bout
I be gettin' off like holiday, man, push put some paper out
Fuck comparin' bank accounts (uh)
Louis V say my name, we ain't worth the same amount, boy
Better find a mop, it's gettin' sticky in this bitch (oh)
Better find a mop, it's gettin' sticky in this bitch (oh, sticky)
Better find a mop, it's gettin' sticky in this bitch (oh)
Better find a mop, it's gettin' sticky in this bitch (oh)
Better find a mop, it's gettin' sticky in this bitch (oh)
Better find a mop, it's gettin' sticky in this bitch (yeah, yeah, yeah, oh)
Better find a mop, it's gettin' sticky in this bitch (oh)
Better find a mop, it's gettin' sticky in this bitch
Gettin' sticky, sticky, sticky, sticky (oh, no, no, no)
Sticky","audio/08. Tyler, The Creator - Sticky.flac"
33,BOKeTE,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Eh, 6
6 PM frente al río
Viéndono' los corazone'
Las moda' cayendo
Preguntas sin contestacione'
Mis sentimiento' cambian como estacione'
Y aunque en PR todo el tiempo es verano
Estoy pasando frío escuchando estas cancione'
Pensando en ti, pero no te emocione'
Porque no te vo'a escribir
¿Cuál de los dos es quien más va a sufrir?
No sé
Pero ojalá que seas tú, ojalá que seas tú
Pa' mí que vas a ser tú
Ya ni quiero competir
Tú ere' linda, pero te gusta mentir
Quédate en tu viaje, que cuando aterrice
Nadie va a aplaudir, ey
Un día va' a ponerte vieja
Va' a mirar pa'trá' y te va' a arrepentir
De que lo más real que has tenido
En tu vida lo dejaste ir
Ey, ey
Tú ere' un boquete en PR
Por eso es que te esquivo
Ya no hay más poema' pa' ti
Este es el último que escribo
A-a vece' vienen los flashback
Tú y yo chingando agresivo
Te-te-te iba a llevar pa' Maya
Y no llegaste ni a Arecibo
La invitación de la playita se venció
Lo mejor de nosotro' nadie lo vio
O quizá fue que la vida nos mintió
Y tocó decir adiós
Y vivir como vivía ante' de conocerte
Viendo fotito' tuya'
Probando si soy fuerte
Las ola' con el viento
Los perro' y la suerte
Tenía miedo 'e perderte
Pero no má' que a la muerte
Ya estoy vivo
Gracia' a Dio', estoy vivo, eso es lo que importa
Yo me he enamorao' 515 vece', y contigo son 516
So eso no es na' nuevo
Toca seguir, pichar y olvidar
Y má' alante si hay que enamorarno' de nuevo
Nos volvemo' a enamorar
Tú sabe' que a mí me gusta estar así, enamorao', pero
Ya ni quiero competir
Tú ere' linda, pero te gusta mentir
Quédate en tu viaje, que cuando aterrice
Nadie va a aplaudir, ey
Un día va' a ponerte vieja
Va' a mirar pa'trá' y te va' a arrepentir
De que lo más real que has tenido
En tu vida lo dejaste ir",audio/09. Bad Bunny - BOKeTE.flac
34,VEGAS,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"-pido
Y es que tan difícil enamorarte,
solo se burla el destino:
te pone a mi lado,
y luego me hace ilusionarme.
Se apresura en mostrarme
lo que quiero,
pa' luego largarse.
Te tiro con arco como Cupido,
pero es tan difícil pegarte la flecha,
si siempre cambias de camino.
Yo nunca le atino,
tal vez me retiro,
tal vez sentirme solo es lo mío.
Porque ya me cansé
de que solo me veas como amigo.
Quiero ser algo más,
juntarnos al menos un par de semanas,
en ""Nunca Jamás"".
En un mundo ficticio, besar,
los labios que sé,
que en mi vida no podré tocar.
Y es que ya me cansé,
de que no sea el teléfono mío,
al que llamarás,
cuando llegue el día,
que se caiga el cielo,
y se nos queme el mar.
Dime entonces con quién estarán,
las manos que toda mi vida,
quise sujetar.
Si apostara lo que siente el pecho,
perdería como en Las Vegas mi dinero.
Me enfrentaría a lo que tanto miedo tengo:
que tú me digas que no es mutuo el sentimiento.
Quiero ver cómo huele tu cuello,
amanecer enredados en tu cabello,
la cafetera haciendo ruidos a lo lejos.
No hay que distraernos,
sé que es un sueño,
pero no quiero perderlo.
Porque me alteras la química:
cómo te mueves, cómo te ves,
fundaste mi lírica.
Quiero conectarme a una realidad,
que sea recíproca,
la vida contigo se siente onírica.
Si no es eso, no acepto.
No me quiero gastar, ilusionar,
yo quiero un amuleto:
turmalinas y cuarzo,
energía de luna cerca de mi pecho,
que me ayude a hechizarte y tenerte,
y que todo se vuelva perfecto.
Tal vez y hace efecto,
y quizá con el tiempo,
me dejes de ver como solo un amigo.
Quiero ser algo más,
juntarnos al menos un par de semanas
en ""Nunca Jamás"".
En un mundo ficticio, besar,
los labios que sé,
que en mi vida no podré tocar.
Y es que ya me cansé
de que no sea el teléfono mío,
al que llamarás,
cuando llegue el día,
que se caiga el cielo,
y se nos queme el mar.
Dime entonces, ¿con quién estarán
las manos que toda mi vida
quise sujetar?
Dale, dale, dale, dale, dale, dale...
¡Dale!
Te tiro con arco como Cupido.
Ya no muevas solo eso es lo que yo pido.
Lo único que quiero es montarte un flechazo.
Que te quedes conmigo, hacer una bohemia.
Otra noche contigo, si es lo que quieres, dame un abrazo
(¿Como uso mi arco?)
toda la vida.
(Contigo no puedo siempre le fallo al tiro)
En mar abierto, hasta la orilla.
Santa Maria.
Superpoderes.
(No pienso dejar de usarlo hasta no ver un anillo en tu mano)
Telekinesis.
Te quiero acercar a mi cuerpo tomando el control de mi mente.",audio/09. HUMBE - VEGAS.flac
